family,feature,expected,actual,abs_diff,rel_diff_pct,tolerance_pct,status,oracle_feature,image_source,settings,note
Shape and morphology subset,ROUNDNESS,0.681656295209303,1.0,0.31834370479069696,46.70149854523816,5.0,MISMATCH,diplib.MeasurementTool Roundness,tests/test_data.h shape2d_morphology_mask,DIPlib MeasurementTool on 2D label image; KMP_DUPLICATE_LIB_OK=TRUE required for the pip wheel in nyxus_ci,Direct DIPlib roundness measurement; convention differs from Nyxus' ellipse-fitting roundness.
Shape and morphology subset,CIRCULARITY,0.671081973229055,0.14619483535130726,0.5248871378777478,78.2150555098568,5.0,MISMATCH,diplib.MeasurementTool Circularity,tests/test_data.h shape2d_morphology_mask,DIPlib MeasurementTool on 2D label image; KMP_DUPLICATE_LIB_OK=TRUE required for the pip wheel in nyxus_ci,Direct DIPlib circularity measurement; convention differs from Nyxus' sqrt(4*pi*area/perimeter^2) value using Nyxus contour perimeter.
