family,feature,expected,actual,abs_diff,rel_diff_pct,tolerance_pct,status,oracle_feature,image_source,settings,note
Shape and morphology subset,DIAMETER_MIN_ENCLOSING_CIRCLE,6.32475519180298,6.324555320336759,0.0001998714662212464,0.003160145494331293,5.0,PASS,centrosome.cpmorphology.minimum_enclosing_circle,tests/test_data.h shape2d_morphology_mask,Centrosome 2D label matrix; diameter = 2 * returned radius,Direct Centrosome minimum-enclosing-circle oracle on the 2D ROI mask.
Neighbor / touching features,NUM_NEIGHBORS[label=1],4.0,4.0,0.0,0.0,5.0,PASS,centrosome.cpmorphology.find_neighbors,tests/test_data.h neighborhood2d_scene_labels,Centrosome 8-connected touching adjacency on the 2D label matrix,Centrosome uses 8-connected adjacency. This agrees for the central label but counts diagonal neighbor-neighbor contacts that Nyxus does not count in this fixture.
Neighbor / touching features,NUM_NEIGHBORS[label=2],1.0,2.0,1.0,100.0,5.0,MISMATCH,centrosome.cpmorphology.find_neighbors,tests/test_data.h neighborhood2d_scene_labels,Centrosome 8-connected touching adjacency on the 2D label matrix,Centrosome uses 8-connected adjacency. This agrees for the central label but counts diagonal neighbor-neighbor contacts that Nyxus does not count in this fixture.
Neighbor / touching features,NUM_NEIGHBORS[label=3],1.0,2.0,1.0,100.0,5.0,MISMATCH,centrosome.cpmorphology.find_neighbors,tests/test_data.h neighborhood2d_scene_labels,Centrosome 8-connected touching adjacency on the 2D label matrix,Centrosome uses 8-connected adjacency. This agrees for the central label but counts diagonal neighbor-neighbor contacts that Nyxus does not count in this fixture.
Neighbor / touching features,NUM_NEIGHBORS[label=4],1.0,2.0,1.0,100.0,5.0,MISMATCH,centrosome.cpmorphology.find_neighbors,tests/test_data.h neighborhood2d_scene_labels,Centrosome 8-connected touching adjacency on the 2D label matrix,Centrosome uses 8-connected adjacency. This agrees for the central label but counts diagonal neighbor-neighbor contacts that Nyxus does not count in this fixture.
Neighbor / touching features,NUM_NEIGHBORS[label=5],1.0,2.0,1.0,100.0,5.0,MISMATCH,centrosome.cpmorphology.find_neighbors,tests/test_data.h neighborhood2d_scene_labels,Centrosome 8-connected touching adjacency on the 2D label matrix,Centrosome uses 8-connected adjacency. This agrees for the central label but counts diagonal neighbor-neighbor contacts that Nyxus does not count in this fixture.
